wbs id,task name,level,parent id,start date,end date,duration,progress,planned,owner,cost estimate,priority,weight,status,deliverable,acceptance criteria,review date
D01-04-02-02,수정안 반영,4,D01-04-02,2025-12-01,2025-12-03,3,0,0,TBD,900000,Medium,0.83,대기중,수정안 반영 결과물,수정안 반영 결과물이 요구 기준을 충족함,2025-12-04
D01-04-03,1차 유저 테스트,3,D01-04,2025-12-03,2025-12-07,5,0,0,TBD,1800000,Medium,1.66,대기중,1차 유저 테스트 결과물,1차 유저 테스트 결과물이 요구 기준을 충족함,2025-12-08
D01-04-03-01,테스트 시나리오 작성,4,D01-04-03,2025-12-03,2025-12-04,2,0,0,TBD,600000,Medium,0.55,대기중,테스트 시나리오 작성 결과물,테스트 시나리오 작성 결과물이 요구 기준을 충족함,2025-12-05
D01-04-03-02,결과 정리 및 우선순위화,4,D01-04-03,2025-12-04,2025-12-07,4,0,0,TBD,1200000,Medium,1.11,대기중,결과 정리 및 우선순위화 결과물,결과 정리 및 우선순위화 결과물이 요구 기준을 충족함,2025-12-08
B01,백엔드(API & DB),1,,2025-11-13,2026-02-16,96,20,0,TBD,35100000,Medium,32.41,작업중,백엔드(API & DB) 결과물,백엔드(API & DB) 결과물이 요구 기준을 충족함,2026-02-17
B01-01,아키텍처/CI 셋업,2,B01,2025-11-13,2025-11-20,8,65,0,TBD,3300000,Medium,3.05,작업중,아키텍처/CI 셋업 결과물,아키텍처/CI 셋업 결과물이 요구 기준을 충족함,2025-11-21
B01-01-01,서비스 구조 설계,3,B01-01,2025-11-13,2025-11-16,4,78,0,TBD,1500000,Medium,1.39,작업중,서비스 구조 설계 결과물,서비스 구조 설계 결과물이 요구 기준을 충족함,2025-11-17
B01-01-01-01,API 스펙 초안,4,B01-01-01,2025-11-13,2025-11-15,3,90,0,TBD,900000,Medium,0.83,작업중,API 스펙 초안 결과물,API 스펙 초안 결과물이 요구 기준을 충족함,2025-11-16
B01-01-01-02,인증/인가 정책 초안,4,B01-01-01,2025-11-15,2025-11-16,2,60,0,TBD,600000,Medium,0.56,작업중,인증/인가 정책 초안 결과물,인증/인가 정책 초안 결과물이 요구 기준을 충족함,2025-11-17
B01-01-02,CI 파이프라인 초기화,3,B01-01,2025-11-16,2025-11-20,5,55,0,TBD,1800000,Medium,1.66,작업중,CI 파이프라인 초기화 결과물,CI 파이프라인 초기화 결과물이 요구 기준을 충족함,2025-11-21
B01-01-02-01,빌드/테스트 워크플로 정의,4,B01-01-02,2025-11-16,2025-11-18,3,60,0,TBD,900000,Medium,0.83,작업중,빌드/테스트 워크플로 정의 결과물,빌드/테스트 워크플로 정의 결과물이 요구 기준을 충족함,2025-11-19
B01-01-02-02,코드 스캔/보안 검사 연동,4,B01-01-02,2025-11-18,2025-11-20,3,50,0,TBD,900000,Medium,0.83,작업중,코드 스캔/보안 검사 연동 결과물,코드 스캔/보안 검사 연동 결과물이 요구 기준을 충족함,2025-11-21
B01-02,DB/모델 설계,2,B01,2025-11-20,2025-11-30,11,39,0,TBD,4200000,Medium,3.88,작업중,DB/모델 설계 결과물,DB/모델 설계 결과물이 요구 기준을 충족함,2025-12-01
B01-02-01,ERD 설계,3,B01-02,2025-11-20,2025-11-25,6,51,0,TBD,2100000,Medium,1.94,작업중,ERD 설계 결과물,ERD 설계 결과물이 요구 기준을 충족함,2025-11-26
B01-02-01-01,유저/콘텐츠 스키마,4,B01-02-01,2025-11-20,2025-11-23,4,60,0,TBD,1200000,Medium,1.11,작업중,유저/콘텐츠 스키마 결과물,유저/콘텐츠 스키마 결과물이 요구 기준을 충족함,2025-11-24
B01-02-01-02,로그/알림 스키마,4,B01-02-01,2025-11-23,2025-11-25,3,40,0,TBD,900000,Medium,0.83,작업중,로그/알림 스키마 결과물,로그/알림 스키마 결과물이 요구 기준을 충족함,2025-11-26
B01-02-02,마이그레이션 스크립트,3,B01-02,2025-11-25,2025-11-30,6,26,0,TBD,2100000,Medium,1.94,작업중,마이그레이션 스크립트 결과물,마이그레이션 스크립트 결과물이 요구 기준을 충족함,2025-12-01
B01-02-02-01,초기 시드 데이터 작성,4,B01-02-02,2025-11-25,2025-11-28,4,30,0,TBD,1200000,Medium,1.11,작업중,초기 시드 데이터 작성 결과물,초기 시드 데이터 작성 결과물이 요구 기준을 충족함,2025-11-29
B01-02-02-02,로컬/스테이징 반영,4,B01-02-02,2025-11-28,2025-11-30,3,20,0,TBD,900000,Medium,0.83,작업중,로컬/스테이징 반영 결과물,로컬/스테이징 반영 결과물이 요구 기준을 충족함,2025-12-01
B01-03,핵심 API 구현,2,B01,2025-11-30,2026-01-20,52,19,0,TBD,17100000,Medium,15.79,작업중,핵심 API 구현 결과물,핵심 API 구현 결과물이 요구 기준을 충족함,2026-01-21
B01-03-01,인증/계정 API,3,B01-03,2025-11-30,2025-12-13,14,41,0,TBD,4500000,Medium,4.16,작업중,인증/계정 API 결과물,인증/계정 API 결과물이 요구 기준을 충족함,2025-12-14
B01-03-01-01,회원가입/로그인/토큰,4,B01-03-01,2025-11-30,2025-12-07,8,50,0,TBD,2400000,Medium,2.22,작업중,회원가입/로그인/토큰 결과물,회원가입/로그인/토큰 결과물이 요구 기준을 충족함,2025-12-08
B01-03-01-02,소셜 로그인 연동,4,B01-03-01,2025-12-07,2025-12-13,7,30,0,TBD,2100000,Medium,1.94,작업중,소셜 로그인 연동 결과물,소셜 로그인 연동 결과물이 요구 기준을 충족함,2025-12-14
B01-03-02,콘텐츠/피드 API,3,B01-03,2025-12-13,2026-01-02,21,15,0,TBD,6600000,Medium,6.09,작업중,콘텐츠/피드 API 결과물,콘텐츠/피드 API 결과물이 요구 기준을 충족함,2026-01-03
B01-03-02-01,콘텐츠 조회/검색,4,B01-03-02,2025-12-13,2025-12-23,11,20,0,TBD,3300000,Medium,3.04,작업중,콘텐츠 조회/검색 결과물,콘텐츠 조회/검색 결과물이 요구 기준을 충족함,2025-12-24
B01-03-02-02,즐겨찾기/북마크,4,B01-03-02,2025-12-23,2026-01-02,11,10,0,TBD,3300000,Medium,3.05,작업중,즐겨찾기/북마크 결과물,즐겨찾기/북마크 결과물이 요구 기준을 충족함,2026-01-03
B01-03-03,알림/푸시 API,3,B01-03,2026-01-02,2026-01-20,19,7,0,TBD,6000000,Medium,5.54,작업중,알림/푸시 API 결과물,알림/푸시 API 결과물이 요구 기준을 충족함,2026-01-21
B01-03-03-01,푸시 토큰 등록,4,B01-03-03,2026-01-02,2026-01-11,10,10,0,TBD,3000000,Medium,2.77,작업중,푸시 토큰 등록 결과물,푸시 토큰 등록 결과물이 요구 기준을 충족함,2026-01-12
B01-03-03-02,알림 발송/히스토리,4,B01-03-03,2026-01-11,2026-01-20,10,5,0,TBD,3000000,Medium,2.77,작업중,알림 발송/히스토리 결과물,알림 발송/히스토리 결과물이 요구 기준을 충족함,2026-01-21
B01-04,비기능 요구 구현,2,B01,2026-01-20,2026-02-07,19,0,0,TBD,6600000,Medium,6.09,대기중,비기능 요구 구현 결과물,비기능 요구 구현 결과물이 요구 기준을 충족함,2026-02-08
B01-04-01,로그/모니터링,3,B01-04,2026-01-20,2026-01-29,10,0,0,TBD,3300000,Medium,3.04,대기중,로그/모니터링 결과물,로그/모니터링 결과물이 요구 기준을 충족함,2026-01-30
B01-04-01-01,요청/에러 로깅,4,B01-04-01,2026-01-20,2026-01-24,5,0,0,TBD,1500000,Medium,1.38,대기중,요청/에러 로깅 결과물,요청/에러 로깅 결과물이 요구 기준을 충족함,2026-01-25
B01-04-01-02,대시보드/알람 설정,4,B01-04-01,2026-01-24,2026-01-29,6,0,0,TBD,1800000,Medium,1.66,대기중,대시보드/알람 설정 결과물,대시보드/알람 설정 결과물이 요구 기준을 충족함,2026-01-30
B01-04-02,보안/레이트 리밋,3,B01-04,2026-01-29,2026-02-07,10,0,0,TBD,3300000,Medium,3.05,대기중,보안/레이트 리밋 결과물,보안/레이트 리밋 결과물이 요구 기준을 충족함,2026-02-08
B01-04-02-01,API 키/권한 검증,4,B01-04-02,2026-01-29,2026-02-02,5,0,0,TBD,1500000,Medium,1.39,대기중,API 키/권한 검증 결과물,API 키/권한 검증 결과물이 요구 기준을 충족함,2026-02-03
B01-04-02-02,레이트 리밋/쿼터,4,B01-04-02,2026-02-02,2026-02-07,6,0,0,TBD,1800000,Medium,1.66,대기중,레이트 리밋/쿼터 결과물,레이트 리밋/쿼터 결과물이 요구 기준을 충족함,2026-02-08
B01-05,통합 테스트/성능 튜닝,2,B01,2026-02-07,2026-02-16,10,0,0,TBD,3900000,Medium,3.6,대기중,통합 테스트/성능 튜닝 결과물,통합 테스트/성능 튜닝 결과물이 요구 기준을 충족함,2026-02-17
B01-05-01,API 통합 테스트,3,B01-05,2026-02-07,2026-02-11,5,0,0,TBD,1800000,Medium,1.66,대기중,API 통합 테스트 결과물,API 통합 테스트 결과물이 요구 기준을 충족함,2026-02-12
B01-05-01-01,시나리오 기반 테스트,4,B01-05-01,2026-02-07,2026-02-09,3,0,0,TBD,900000,Medium,0.83,대기중,시나리오 기반 테스트 결과물,시나리오 기반 테스트 결과물이 요구 기준을 충족함,2026-02-10
B01-05-01-02,FE 연동 테스트,4,B01-05-01,2026-02-09,2026-02-11,3,0,0,TBD,900000,Medium,0.83,대기중,FE 연동 테스트 결과물,FE 연동 테스트 결과물이 요구 기준을 충족함,2026-02-12
B01-05-02,부하 테스트,3,B01-05,2026-02-11,2026-02-16,6,0,0,TBD,2100000,Medium,1.94,대기중,부하 테스트 결과물,부하 테스트 결과물이 요구 기준을 충족함,2026-02-17
B01-05-02-01,성능 프로파일링,4,B01-05-02,2026-02-11,2026-02-13,3,0,0,TBD,900000,Medium,0.83,대기중,성능 프로파일링 결과물,성능 프로파일링 결과물이 요구 기준을 충족함,2026-02-14
B01-05-02-02,DB 인덱스/캐시 튜닝,4,B01-05-02,2026-02-13,2026-02-16,4,0,0,TBD,1200000,Medium,1.11,대기중,DB 인덱스/캐시 튜닝 결과물,DB 인덱스/캐시 튜닝 결과물이 요구 기준을 충족함,2026-02-17
F01,프론트엔드(모바일 앱),1,,2025-11-13,2026-02-16,96,17,0,TBD,36300000,Medium,33.52,작업중,프론트엔드(모바일 앱) 결과물,프론트엔드(모바일 앱) 결과물이 요구 기준을 충족함,2026-02-17
F01-01,프로젝트 셋업,2,F01,2025-11-13,2025-11-16,4,69,0,TBD,2100000,Medium,1.94,작업중,프로젝트 셋업 결과물,프로젝트 셋업 결과물이 요구 기준을 충족함,2025-11-17
F01-01-01,프로젝트 구조/패키지 관리,3,F01-01,2025-11-13,2025-11-14,2,87,0,TBD,900000,Medium,0.83,작업중,프로젝트 구조/패키지 관리 결과물,프로젝트 구조/패키지 관리 결과물이 요구 기준을 충족함,2025-11-15
F01-01-01-01,React Native/Flutter 초기화,4,F01-01-01,2025-11-13,2025-11-13,1,100,0,TBD,300000,Medium,0.28,완료,React Native/Flutter 초기화 결과물,React Native/Flutter 초기화 결과물이 요구 기준을 충족함,2025-11-14
F01-01-01-02,ESLint/포맷터/CI 스크립트 추가,4,F01-01-01,2025-11-13,2025-11-14,2,80,0,TBD,600000,Medium,0.55,작업중,ESLint/포맷터/CI 스크립트 추가 결과물,ESLint/포맷터/CI 스크립트 추가 결과물이 요구 기준을 충족함,2025-11-15
F01-01-02,디자인 시스템 연동,3,F01-01,2025-11-14,2025-11-16,3,55,0,TBD,1200000,Medium,1.11,작업중,디자인 시스템 연동 결과물,디자인 시스템 연동 결과물이 요구 기준을 충족함,2025-11-17
F01-01-02-01,컬러/타이포 토큰 연결,4,F01-01-02,2025-11-14,2025-11-15,2,60,0,TBD,600000,Medium,0.56,작업중,컬러/타이포 토큰 연결 결과물,컬러/타이포 토큰 연결 결과물이 요구 기준을 충족함,2025-11-16
F01-01-02-02,기본 UI 컴포넌트 샘플 구현,4,F01-01-02,2025-11-15,2025-11-16,2,50,0,TBD,600000,Medium,0.55,작업중,기본 UI 컴포넌트 샘플 구현 결과물,기본 UI 컴포넌트 샘플 구현 결과물이 요구 기준을 충족함,2025-11-17
F01-02,공통 모듈 구현,2,F01,2025-11-16,2025-11-30,15,43,0,TBD,6000000,Medium,5.54,작업중,공통 모듈 구현 결과물,공통 모듈 구현 결과물이 요구 기준을 충족함,2025-12-01
F01-02-01,라우팅/네비게이션 구조,3,F01-02,2025-11-16,2025-11-20,5,55,0,TBD,1800000,Medium,1.66,작업중,라우팅/네비게이션 구조 결과물,라우팅/네비게이션 구조 결과물이 요구 기준을 충족함,2025-11-21
F01-02-01-01,탭/스택 네비게이션 설정,4,F01-02-01,2025-11-16,2025-11-18,3,70,0,TBD,900000,Medium,0.83,작업중,탭/스택 네비게이션 설정 결과물,탭/스택 네비게이션 설정 결과물이 요구 기준을 충족함,2025-11-19
F01-02-01-02,인증 흐름 가드 처리,4,F01-02-01,2025-11-18,2025-11-20,3,40,0,TBD,900000,Medium,0.83,작업중,인증 흐름 가드 처리 결과물,인증 흐름 가드 처리 결과물이 요구 기준을 충족함,2025-11-21
F01-02-02,상태관리/스토어 구조,3,F01-02,2025-11-20,2025-11-25,6,44,0,TBD,2100000,Medium,1.94,작업중,상태관리/스토어 구조 결과물,상태관리/스토어 구조 결과물이 요구 기준을 충족함,2025-11-26
F01-02-02-01,전역 상태 설계,4,F01-02-02,2025-11-20,2025-11-22,3,50,0,TBD,900000,Medium,0.83,작업중,전역 상태 설계 결과물,전역 상태 설계 결과물이 요구 기준을 충족함,2025-11-23
F01-02-02-02,API 연동 레이어 작성,4,F01-02-02,2025-11-22,2025-11-25,4,40,0,TBD,1200000,Medium,1.11,작업중,API 연동 레이어 작성 결과물,API 연동 레이어 작성 결과물이 요구 기준을 충족함,2025-11-26
F01-02-03,공통 위젯/유틸리티,3,F01-02,2025-11-25,2025-11-30,6,31,0,TBD,2100000,Medium,1.94,작업중,공통 위젯/유틸리티 결과물,공통 위젯/유틸리티 결과물이 요구 기준을 충족함,2025-12-01
F01-02-03-01,로딩/토스트/다이얼로그,4,F01-02-03,2025-11-25,2025-11-28,4,40,0,TBD,1200000,Medium,1.11,작업중,로딩/토스트/다이얼로그 결과물,로딩/토스트/다이얼로그 결과물이 요구 기준을 충족함,2025-11-29
F01-02-03-02,폼/유효성 검사 유틸,4,F01-02-03,2025-11-28,2025-11-30,3,20,0,TBD,900000,Medium,0.83,작업중,폼/유효성 검사 유틸 결과물,폼/유효성 검사 유틸 결과물이 요구 기준을 충족함,2025-12-01
F01-03,핵심 화면 개발,2,F01,2025-11-30,2026-01-11,43,15,0,TBD,15000000,Medium,13.85,작업중,핵심 화면 개발 결과물,핵심 화면 개발 결과물이 요구 기준을 충족함,2026-01-12
F01-03-01,온보딩/로그인,3,F01-03,2025-11-30,2025-12-07,8,39,0,TBD,2700000,Medium,2.49,작업중,온보딩/로그인 결과물,온보딩/로그인 결과물이 요구 기준을 충족함,2025-12-08
F01-03-01-01,소셜 로그인 UI,4,F01-03-01,2025-11-30,2025-12-03,4,50,0,TBD,1200000,Medium,1.11,작업중,소셜 로그인 UI 결과물,소셜 로그인 UI 결과물이 요구 기준을 충족함,2025-12-04
F01-03-01-02,회원가입/약관 동의,4,F01-03-01,2025-12-03,2025-12-07,5,30,0,TBD,1500000,Medium,1.38,작업중,회원가입/약관 동의 결과물,회원가입/약관 동의 결과물이 요구 기준을 충족함,2025-12-08
F01-03-02,홈/피드,3,F01-03,2025-12-07,2025-12-23,17,15,0,TBD,5400000,Medium,4.99,작업중,홈/피드 결과물,홈/피드 결과물이 요구 기준을 충족함,2025-12-24
F01-03-02-01,리스트/카드형 UI,4,F01-03-02,2025-12-07,2025-12-15,9,20,0,TBD,2700000,Medium,2.5,작업중,리스트/카드형 UI 결과물,리스트/카드형 UI 결과물이 요구 기준을 충족함,2025-12-16
F01-03-02-02,필터/검색 영역,4,F01-03-02,2025-12-15,2025-12-23,9,10,0,TBD,2700000,Medium,2.49,작업중,필터/검색 영역 결과물,필터/검색 영역 결과물이 요구 기준을 충족함,2025-12-24
F01-03-03,상세/콘텐츠 보기,3,F01-03,2025-12-23,2026-01-02,11,8,0,TBD,3600000,Medium,3.32,작업중,상세/콘텐츠 보기 결과물,상세/콘텐츠 보기 결과물이 요구 기준을 충족함,2026-01-03
F01-03-03-01,상세 정보 렌더링,4,F01-03-03,2025-12-23,2025-12-28,6,10,0,TBD,1800000,Medium,1.66,작업중,상세 정보 렌더링 결과물,상세 정보 렌더링 결과물이 요구 기준을 충족함,2025-12-29
F01-03-03-02,즐겨찾기/공유 기능,4,F01-03-03,2025-12-28,2026-01-02,6,5,0,TBD,1800000,Medium,1.66,작업중,즐겨찾기/공유 기능 결과물,즐겨찾기/공유 기능 결과물이 요구 기준을 충족함,2026-01-03
F01-03-04,마이페이지/설정,3,F01-03,2026-01-02,2026-01-11,10,2,0,TBD,3300000,Medium,3.05,작업중,마이페이지/설정 결과물,마이페이지/설정 결과물이 요구 기준을 충족함,2026-01-12
F01-03-04-01,프로필 수정 화면,4,F01-03-04,2026-01-02,2026-01-06,5,5,0,TBD,1500000,Medium,1.39,작업중,프로필 수정 화면 결과물,프로필 수정 화면 결과물이 요구 기준을 충족함,2026-01-07
F01-03-04-02,알림/환경설정 화면,4,F01-03-04,2026-01-06,2026-01-11,6,0,0,TBD,1800000,Medium,1.66,대기중,알림/환경설정 화면 결과물,알림/환경설정 화면 결과물이 요구 기준을 충족함,2026-01-12
F01-04,성능/디바이스 최적화,2,F01,2026-01-11,2026-01-29,19,0,0,TBD,6600000,Medium,6.09,대기중,성능/디바이스 최적화 결과물,성능/디바이스 최적화 결과물이 요구 기준을 충족함,2026-01-30
F01-04-01,이미지/리스트 최적화,3,F01-04,2026-01-11,2026-01-20,10,0,0,TBD,3300000,Medium,3.04,대기중,이미지/리스트 최적화 결과물,이미지/리스트 최적화 결과물이 요구 기준을 충족함,2026-01-21
F01-04-01-01,Lazy load/가상 스크롤 적용,4,F01-04-01,2026-01-11,2026-01-16,6,0,0,TBD,1800000,Medium,1.66,대기중,Lazy load/가상 스크롤 적용 결과물,Lazy load/가상 스크롤 적용 결과물이 요구 기준을 충족함,2026-01-17
F01-04-01-02,이미지 캐싱,4,F01-04-01,2026-01-16,2026-01-20,5,0,0,TBD,1500000,Medium,1.38,대기중,이미지 캐싱 결과물,이미지 캐싱 결과물이 요구 기준을 충족함,2026-01-21
F01-04-02,푸시/권한 처리,3,F01-04,2026-01-20,2026-01-29,10,0,0,TBD,3300000,Medium,3.05,대기중,푸시/권한 처리 결과물,푸시/권한 처리 결과물이 요구 기준을 충족함,2026-01-30
F01-04-02-01,푸시 토큰 등록 화면 연결,4,F01-04-02,2026-01-20,2026-01-24,5,0,0,TBD,1500000,Medium,1.39,대기중,푸시 토큰 등록 화면 연결 결과물,푸시 토큰 등록 화면 연결 결과물이 요구 기준을 충족함,2026-01-25
F01-04-02-02,권한 요청 UX 개선,4,F01-04-02,2026-01-24,2026-01-29,6,0,0,TBD,1800000,Medium,1.66,대기중,권한 요청 UX 개선 결과물,권한 요청 UX 개선 결과물이 요구 기준을 충족함,2026-01-30
