Task ID,Task name,level,parent ID,Start Date,End Date,Duration,Progress,Owner,Cost Estimate,Priority,Weight,Status,Deliverable,Acceptance Criteria,Review Date
F01-01-02-01,컬러/타이포 토큰 연결,4,2.1.2,2025-11-14,2025-11-15,1,60,TBD,0,Medium,1,Not Started,,,
F01-01-02-02,기본 UI 컴포넌트 샘플 구현,4,2.1.2,2025-11-15,2025-11-16,1,50,TBD,0,Medium,1,Not Started,,,
F01-02,공통 모듈 구현,2,2,2025-11-16,2025-11-30,14,50,TBD,0,Medium,1,Not Started,,,
F01-02-01,라우팅/네비게이션 구조,3,2.2,2025-11-16,2025-11-20,4,60,TBD,0,Medium,1,Not Started,,,
F01-02-01-01,탭/스택 네비게이션 설정,4,2.2.1,2025-11-16,2025-11-18,2,70,TBD,0,Medium,1,Not Started,,,
F01-02-01-02,인증 흐름 가드 처리,4,2.2.1,2025-11-18,2025-11-20,2,40,TBD,0,Medium,1,Not Started,,,
F01-02-02,상태관리/스토어 구조,3,2.2,2025-11-20,2025-11-25,5,50,TBD,0,Medium,1,Not Started,,,
F01-02-02-01,전역 상태 설계,4,2.2.2,2025-11-20,2025-11-22,2,50,TBD,0,Medium,1,Not Started,,,
F01-02-02-02,API 연동 레이어 작성,4,2.2.2,2025-11-22,2025-11-25,3,40,TBD,0,Medium,1,Not Started,,,
F01-02-03,공통 위젯/유틸리티,3,2.2,2025-11-25,2025-11-30,5,30,TBD,0,Medium,1,Not Started,,,
F01-02-03-01,로딩/토스트/다이얼로그,4,2.2.3,2025-11-25,2025-11-28,3,40,TBD,0,Medium,1,Not Started,,,
F01-02-03-02,폼/유효성 검사 유틸,4,2.2.3,2025-11-28,2025-11-30,2,20,TBD,0,Medium,1,Not Started,,,
F01-03,핵심 화면 개발,2,2,2025-11-30,2026-01-11,42,20,TBD,0,Medium,1,Not Started,,,
F01-03-01,온보딩/로그인,3,2.3,2025-11-30,2025-12-07,7,40,TBD,0,Medium,1,Not Started,,,
F01-03-01-01,소셜 로그인 UI,4,2.3.1,2025-11-30,2025-12-03,3,50,TBD,0,Medium,1,Not Started,,,
F01-03-01-02,회원가입/약관 동의,4,2.3.1,2025-12-03,2025-12-07,4,30,TBD,0,Medium,1,Not Started,,,
F01-03-02,홈/피드,3,2.3,2025-12-07,2025-12-23,16,15,TBD,0,Medium,1,Not Started,,,
F01-03-02-01,리스트/카드형 UI,4,2.3.2,2025-12-07,2025-12-15,8,20,TBD,0,Medium,1,Not Started,,,
F01-03-02-02,필터/검색 영역,4,2.3.2,2025-12-15,2025-12-23,8,10,TBD,0,Medium,1,Not Started,,,
F01-03-03,상세/콘텐츠 보기,3,2.3,2025-12-23,2026-01-02,10,10,TBD,0,Medium,1,Not Started,,,
F01-03-03-01,상세 정보 렌더링,4,2.3.3,2025-12-23,2025-12-28,5,10,TBD,0,Medium,1,Not Started,,,
F01-03-03-02,즐겨찾기/공유 기능,4,2.3.3,2025-12-28,2026-01-02,5,5,TBD,0,Medium,1,Not Started,,,
F01-03-04,마이페이지/설정,3,2.3,2026-01-02,2026-01-11,9,5,TBD,0,Medium,1,Not Started,,,
F01-03-04-01,프로필 수정 화면,4,2.3.4,2026-01-02,2026-01-06,4,5,TBD,0,Medium,1,Not Started,,,
F01-03-04-02,알림/환경설정 화면,4,2.3.4,2026-01-06,2026-01-11,5,0,TBD,0,Medium,1,Not Started,,,
F01-04,성능/디바이스 최적화,2,2,2026-01-11,2026-01-29,18,0,TBD,0,Medium,1,Not Started,,,
F01-04-01,이미지/리스트 최적화,3,2.4,2026-01-11,2026-01-20,9,0,TBD,0,Medium,1,Not Started,,,
F01-04-01-01,Lazy load/가상 스크롤 적용,4,2.4.1,2026-01-11,2026-01-16,5,0,TBD,0,Medium,1,Not Started,,,
F01-04-01-02,이미지 캐싱,4,2.4.1,2026-01-16,2026-01-20,4,0,TBD,0,Medium,1,Not Started,,,
F01-04-02,푸시/권한 처리,3,2.4,2026-01-20,2026-01-29,9,0,TBD,0,Medium,1,Not Started,,,
F01-04-02-01,푸시 토큰 등록 화면 연결,4,2.4.2,2026-01-20,2026-01-24,4,0,TBD,0,Medium,1,Not Started,,,
F01-04-02-02,권한 요청 UX 개선,4,2.4.2,2026-01-24,2026-01-29,5,0,TBD,0,Medium,1,Not Started,,,
F01-05,FE 통합 테스트/버그픽스,2,2,2026-01-29,2026-02-16,18,0,TBD,0,Medium,1,Not Started,,,
F01-05-01,모듈 단위 테스트,3,2.5,2026-01-29,2026-02-07,9,0,TBD,0,Medium,1,Not Started,,,
F01-05-01-01,주요 UI 스냅샷 테스트,4,2.5.1,2026-01-29,2026-02-02,4,0,TBD,0,Medium,1,Not Started,,,
F01-05-01-02,상태관리 유닛 테스트,4,2.5.1,2026-02-02,2026-02-07,5,0,TBD,0,Medium,1,Not Started,,,
F01-05-02,E2E 테스트,3,2.5,2026-02-07,2026-02-16,9,0,TBD,0,Medium,1,Not Started,,,
F01-05-02-01,시나리오 테스트 스크립트 작성,4,2.5.2,2026-02-07,2026-02-11,4,0,TBD,0,Medium,1,Not Started,,,
F01-05-02-02,실단말 테스트,4,2.5.2,2026-02-11,2026-02-16,5,0,TBD,0,Medium,1,Not Started,,,
B01,백엔드(API & DB),1,,2025-11-13,2026-02-16,95,20,TBD,0,Medium,1,Not Started,,,
B01-01,아키텍처/CI 셋업,2,3,2025-11-13,2025-11-20,7,70,TBD,0,Medium,1,Not Started,,,
B01-01-01,서비스 구조 설계,3,3.1,2025-11-13,2025-11-16,3,80,TBD,0,Medium,1,Not Started,,,
B01-01-01-01,API 스펙 초안,4,3.1.1,2025-11-13,2025-11-15,2,90,TBD,0,Medium,1,Not Started,,,
B01-01-01-02,인증/인가 정책 초안,4,3.1.1,2025-11-15,2025-11-16,1,60,TBD,0,Medium,1,Not Started,,,
B01-01-02,CI 파이프라인 초기화,3,3.1,2025-11-16,2025-11-20,4,60,TBD,0,Medium,1,Not Started,,,
B01-01-02-01,빌드/테스트 워크플로 정의,4,3.1.2,2025-11-16,2025-11-18,2,60,TBD,0,Medium,1,Not Started,,,
B01-01-02-02,코드 스캔/보안 검사 연동,4,3.1.2,2025-11-18,2025-11-20,2,50,TBD,0,Medium,1,Not Started,,,
B01-02,DB/모델 설계,2,3,2025-11-20,2025-11-30,10,40,TBD,0,Medium,1,Not Started,,,
B01-02-01,ERD 설계,3,3.2,2025-11-20,2025-11-25,5,50,TBD,0,Medium,1,Not Started,,,
B01-02-01-01,유저/콘텐츠 스키마,4,3.2.1,2025-11-20,2025-11-23,3,60,TBD,0,Medium,1,Not Started,,,
B01-02-01-02,로그/알림 스키마,4,3.2.1,2025-11-23,2025-11-25,2,40,TBD,0,Medium,1,Not Started,,,
B01-02-02,마이그레이션 스크립트,3,3.2,2025-11-25,2025-11-30,5,30,TBD,0,Medium,1,Not Started,,,
B01-02-02-01,초기 시드 데이터 작성,4,3.2.2,2025-11-25,2025-11-28,3,30,TBD,0,Medium,1,Not Started,,,
B01-02-02-02,로컬/스테이징 반영,4,3.2.2,2025-11-28,2025-11-30,2,20,TBD,0,Medium,1,Not Started,,,
B01-03,핵심 API 구현,2,3,2025-11-30,2026-01-20,51,20,TBD,0,Medium,1,Not Started,,,
B01-03-01,인증/계정 API,3,3.3,2025-11-30,2025-12-13,13,40,TBD,0,Medium,1,Not Started,,,
B01-03-01-01,회원가입/로그인/토큰,4,3.3.1,2025-11-30,2025-12-07,7,50,TBD,0,Medium,1,Not Started,,,
B01-03-01-02,소셜 로그인 연동,4,3.3.1,2025-12-07,2025-12-13,6,30,TBD,0,Medium,1,Not Started,,,
B01-03-02,콘텐츠/피드 API,3,3.3,2025-12-13,2026-01-02,20,15,TBD,0,Medium,1,Not Started,,,
B01-03-02-01,콘텐츠 조회/검색,4,3.3.2,2025-12-13,2025-12-23,10,20,TBD,0,Medium,1,Not Started,,,
B01-03-02-02,즐겨찾기/북마크,4,3.3.2,2025-12-23,2026-01-02,10,10,TBD,0,Medium,1,Not Started,,,
B01-03-03,알림/푸시 API,3,3.3,2026-01-02,2026-01-20,18,10,TBD,0,Medium,1,Not Started,,,
B01-03-03-01,푸시 토큰 등록,4,3.3.3,2026-01-02,2026-01-11,9,10,TBD,0,Medium,1,Not Started,,,
B01-03-03-02,알림 발송/히스토리,4,3.3.3,2026-01-11,2026-01-20,9,5,TBD,0,Medium,1,Not Started,,,
B01-04,비기능 요구 구현,2,3,2026-01-20,2026-02-07,18,0,TBD,0,Medium,1,Not Started,,,
B01-04-01,로그/모니터링,3,3.4,2026-01-20,2026-01-29,9,0,TBD,0,Medium,1,Not Started,,,
B01-04-01-01,요청/에러 로깅,4,3.4.1,2026-01-20,2026-01-24,4,0,TBD,0,Medium,1,Not Started,,,
B01-04-01-02,대시보드/알람 설정,4,3.4.1,2026-01-24,2026-01-29,5,0,TBD,0,Medium,1,Not Started,,,
B01-04-02,보안/레이트 리밋,3,3.4,2026-01-29,2026-02-07,9,0,TBD,0,Medium,1,Not Started,,,
B01-04-02-01,API 키/권한 검증,4,3.4.2,2026-01-29,2026-02-02,4,0,TBD,0,Medium,1,Not Started,,,
B01-04-02-02,레이트 리밋/쿼터,4,3.4.2,2026-02-02,2026-02-07,5,0,TBD,0,Medium,1,Not Started,,,
B01-05,통합 테스트/성능 튜닝,2,3,2026-02-07,2026-02-16,9,0,TBD,0,Medium,1,Not Started,,,
B01-05-01,API 통합 테스트,3,3.5,2026-02-07,2026-02-11,4,0,TBD,0,Medium,1,Not Started,,,
B01-05-01-01,시나리오 기반 테스트,4,3.5.1,2026-02-07,2026-02-09,2,0,TBD,0,Medium,1,Not Started,,,
B01-05-01-02,FE 연동 테스트,4,3.5.1,2026-02-09,2026-02-11,2,0,TBD,0,Medium,1,Not Started,,,
B01-05-02,부하 테스트,3,3.5,2026-02-11,2026-02-16,5,0,TBD,0,Medium,1,Not Started,,,
B01-05-02-01,성능 프로파일링,4,3.5.2,2026-02-11,2026-02-13,2,0,TBD,0,Medium,1,Not Started,,,
B01-05-02-02,DB 인덱스/캐시 튜닝,4,3.5.2,2026-02-13,2026-02-16,3,0,TBD,0,Medium,1,Not Started,,,
R01,배포/운영,1,,2026-01-11,2026-03-03,51,0,TBD,0,Medium,1,Not Started,,,
R01-01,인프라 구성,2,4,2026-01-11,2026-01-29,18,0,TBD,0,Medium,1,Not Started,,,
R01-01-01,클라우드 환경 준비,3,4.1,2026-01-11,2026-01-16,5,0,TBD,0,Medium,1,Not Started,,,
R01-01-01-01,네트워크/VPC 설정,4,4.1.1,2026-01-11,2026-01-13,2,0,TBD,0,Medium,1,Not Started,,,
R01-01-01-02,서버/DB 인스턴스 생성,4,4.1.1,2026-01-13,2026-01-16,3,0,TBD,0,Medium,1,Not Started,,,
R01-01-02,컨테이너/오케스트레이션,3,4.1,2026-01-16,2026-01-24,8,0,TBD,0,Medium,1,Not Started,,,
R01-01-02-01,도커라이징,4,4.1.2,2026-01-16,2026-01-20,4,0,TBD,0,Medium,1,Not Started,,,
R01-01-02-02,쿠버네티스/서비스 설정,4,4.1.2,2026-01-20,2026-01-24,4,0,TBD,0,Medium,1,Not Started,,,
R01-01-03,CI/CD 파이프라인 배포 단계,3,4.1,2026-01-24,2026-01-29,5,0,TBD,0,Medium,1,Not Started,,,
R01-01-03-01,스테이징 자동 배포,4,4.1.3,2026-01-24,2026-01-26,2,0,TBD,0,Medium,1,Not Started,,,
R01-01-03-02,프로덕션 승인 플로우,4,4.1.3,2026-01-26,2026-01-29,3,0,TBD,0,Medium,1,Not Started,,,
R01-02,스토어 릴리스 준비,2,4,2026-01-29,2026-02-24,26,0,TBD,0,Medium,1,Not Started,,,
R01-02-01,iOS 프로비저닝/앱ID,3,4.2,2026-01-29,2026-02-05,7,0,TBD,0,Medium,1,Not Started,,,
R01-02-01-01,인앱권한/푸시 인증서,4,4.2.1,2026-01-29,2026-02-01,3,0,TBD,0,Medium,1,Not Started,,,
R01-02-01-02,빌드 업로드 테스트플라이트,4,4.2.1,2026-02-01,2026-02-05,4,0,TBD,0,Medium,1,Not Started,,,
R01-02-02,Android 서명/빌드,3,4.2,2026-02-05,2026-02-16,11,0,TBD,0,Medium,1,Not Started,,,
R01-02-02-01,서명키/패키지 설정,4,4.2.2,2026-02-05,2026-02-09,4,0,TBD,0,Medium,1,Not Started,,,
R01-02-02-02,플레이 스토어 업로드,4,4.2.2,2026-02-09,2026-02-16,7,0,TBD,0,Medium,1,Not Started,,,
R01-02-03,스토어 메타데이터/스크린샷,3,4.2,2026-02-16,2026-02-24,8,0,TBD,0,Medium,1,Not Started,,,
R01-02-03-01,스토어 설명/키워드,4,4.2.3,2026-02-16,2026-02-20,4,0,TBD,0,Medium,1,Not Started,,,
R01-02-03-02,스크린샷/영상 등록,4,4.2.3,2026-02-20,2026-02-24,4,0,TBD,0,Medium,1,Not Started,,,
R01-03,런칭/모니터링,2,4,2026-02-24,2026-03-03,7,0,TBD,0,Medium,1,Not Started,,,
R01-03-01,1차 런칭,3,4.3,2026-02-24,2026-02-27,3,0,TBD,0,Medium,1,Not Started,,,
R01-03-01-01,릴리스 노트 정리,4,4.3.1,2026-02-24,2026-02-25,1,0,TBD,0,Medium,1,Not Started,,,
R01-03-01-02,롤백 플랜 확인,4,4.3.1,2026-02-25,2026-02-27,2,0,TBD,0,Medium,1,Not Started,,,
R01-03-02,포스트모템/개선안 리스트업,3,4.3,2026-02-27,2026-03-03,4,0,TBD,0,Medium,1,Not Started,,,
R01-03-02-01,문제 재현/로그 분석,4,4.3.2,2026-02-27,2026-03-01,2,0,TBD,0,Medium,1,Not Started,,,
R01-03-02-02,운영 백로그 등록,4,4.3.2,2026-03-01,2026-03-03,2,0,TBD,0,Medium,1,Not Started,,,
